Local bytes written,COUNTERS,Combine output records,Combine input records,TRACKER_NAME,csource,capp,Map output bytes,Map input records,START_TIME,FINISH_TIME,HDFS bytes read,id,ctags,TASK_STATUS,TASKID,Map input bytes,STATE_STRING,Map output records
,1,0,0,tracker_sr221:localhost\.localdomain/127\.0\.0\.1:54988,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138292598,13038,1307525438260,1307525463665,,attempt_201106081729_0001_m_000035_0, cluster="chukwa",SUCCESS,task_201106081729_0001_m_000035,138640362,hdfs://sr212:9000/user/lyan/rand10/part-00039:1207959552+138644612,13038
,1,0,0,tracker_sr221:localhost\.localdomain/127\.0\.0\.1:54988,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138282495,13199,1307525438335,1307525449090,,attempt_201106081729_0001_m_000036_0, cluster="chukwa",SUCCESS,task_201106081729_0001_m_000036,138633247,hdfs://sr212:9000/user/lyan/rand10/part-00001:1207959552+138644550,13199
,1,0,0,tracker_sr221:localhost\.localdomain/127\.0\.0\.1:54988,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138291197,13095,1307525438395,1307525467334,,attempt_201106081729_0001_m_000037_0, cluster="chukwa",SUCCESS,task_201106081729_0001_m_000037,138640277,hdfs://sr212:9000/user/lyan/rand10/part-00047:1207959552+138643941,13095
,1,0,0,tracker_sr222:localhost\.localdomain/127\.0\.0\.1:35723,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138294495,13115,1307525438686,1307525446033,,attempt_201106081729_0001_m_000038_0, cluster="chukwa",SUCCESS,task_201106081729_0001_m_000038,138643115,hdfs://sr212:9000/user/lyan/rand10/part-00044:1207959552+138643212,13115
,1,0,0,tracker_sr222:localhost\.localdomain/127\.0\.0\.1:35723,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138276521,13135,1307525438728,1307525461005,,attempt_201106081729_0001_m_000039_0, cluster="chukwa",SUCCESS,task_201106081729_0001_m_000039,138627061,hdfs://sr212:9000/user/lyan/rand10/part-00046:1207959552+138642799,13135
,1,0,0,tracker_sr221:localhost\.localdomain/127\.0\.0\.1:54988,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138285719,13233,1307525438455,1307525447886,,attempt_201106081729_0001_m_000040_0, cluster="chukwa",SUCCESS,task_201106081729_0001_m_000040,138637883,hdfs://sr212:9000/user/lyan/rand10/part-00010:1207959552+138642591,13233
,1,0,0,tracker_sr216:localhost\.localdomain/127\.0\.0\.1:43445,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138285481,13071,1307525438589,1307525456721,,attempt_201106081729_0001_m_000041_0, cluster="chukwa",SUCCESS,task_201106081729_0001_m_000041,138632469,hdfs://sr212:9000/user/lyan/rand10/part-00027:1207959552+138642234,13071
,1,0,0,tracker_sr222:localhost\.localdomain/127\.0\.0\.1:35723,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138285278,13269,1307525438760,1307525447379,,attempt_201106081729_0001_m_000042_0, cluster="chukwa",SUCCESS,task_201106081729_0001_m_000042,138637950,hdfs://sr212:9000/user/lyan/rand10/part-00007:1207959552+138641998,13269
,1,0,0,tracker_sr217:localhost\.localdomain/127\.0\.0\.1:44223,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138282611,13153,1307525438406,1307525457982,,attempt_201106081729_0001_m_000043_0, cluster="chukwa",SUCCESS,task_201106081729_0001_m_000043,138632535,hdfs://sr212:9000/user/lyan/rand10/part-00006:1207959552+138641931,13153
,1,0,0,tracker_sr222:localhost\.localdomain/127\.0\.0\.1:35723,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,138282129,13160,1307525438807,1307525458694,,attempt_201106081729_0001_m_000044_0, cluster="chukwa",SUCCESS,task_201106081729_0001_m_000044,138632169,hdfs://sr212:9000/user/lyan/rand10/part-00059:1207959552+138641445,13160
