Timestamp,%util,avgrq-sz,await,capp,csource,ctags,device,r/s,rkB/s,rrqm/s,svctm,w/s,wkB/s,wrqm/s
1307525508,0.00,20.00,0.00,results from /usr/local/bin/iostat -x -k -d 5 | awk '{now=strftime("%s ");if($0 && !/Linux/) print now $0}',sr212, cluster="chukwa",sda,0.00,0.00,0.00,0.00,0.40,4.00,0.60
1307525508,0.00,0.00,0.00,results from /usr/local/bin/iostat -x -k -d 5 | awk '{now=strftime("%s ");if($0 && !/Linux/) print now $0}',sr212, cluster="chukwa",sdb,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1307525508,0.00,0.00,0.00,results from /usr/local/bin/iostat -x -k -d 5 | awk '{now=strftime("%s ");if($0 && !/Linux/) print now $0}',sr212, cluster="chukwa",sdd,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1307525513,0.00,0.00,0.00,results from /usr/local/bin/iostat -x -k -d 5 | awk '{now=strftime("%s ");if($0 && !/Linux/) print now $0}',sr212, cluster="chukwa",sdd,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1307525513,0.08,9.60,2.40,results from /usr/local/bin/iostat -x -k -d 5 | awk '{now=strftime("%s ");if($0 && !/Linux/) print now $0}',sr212, cluster="chukwa",sda,0.00,0.00,0.00,0.80,1.00,4.80,0.20
1307525513,0.00,0.00,0.00,results from /usr/local/bin/iostat -x -k -d 5 | awk '{now=strftime("%s ");if($0 && !/Linux/) print now $0}',sr212, cluster="chukwa",sdb,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1307525513,0.00,32.00,0.00,results from /usr/local/bin/iostat -x -k -d 5 | awk '{now=strftime("%s ");if($0 && !/Linux/) print now $0}',sr212, cluster="chukwa",sdc,0.00,0.00,0.00,0.00,0.80,12.80,2.40
1307525518,0.00,20.00,0.00,results from /usr/local/bin/iostat -x -k -d 5 | awk '{now=strftime("%s ");if($0 && !/Linux/) print now $0}',sr212, cluster="chukwa",sda,0.00,0.00,0.00,0.00,0.40,3.99,0.60
1307525518,0.00,0.00,0.00,results from /usr/local/bin/iostat -x -k -d 5 | awk '{now=strftime("%s ");if($0 && !/Linux/) print now $0}',sr212, cluster="chukwa",sdb,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1307525518,0.00,21.33,0.00,results from /usr/local/bin/iostat -x -k -d 5 | awk '{now=strftime("%s ");if($0 && !/Linux/) print now $0}',sr212, cluster="chukwa",sdc,0.00,0.00,0.00,0.00,1.20,12.77,2.00
1307525518,0.00,0.00,0.00,results from /usr/local/bin/iostat -x -k -d 5 | awk '{now=strftime("%s ");if($0 && !/Linux/) print now $0}',sr212, cluster="chukwa",sdd,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1307525523,0.00,0.00,0.00,results from /usr/local/bin/iostat -x -k -d 5 | awk '{now=strftime("%s ");if($0 && !/Linux/) print now $0}',sr212, cluster="chukwa",sdd,0.00,0.00,0.00,0.00,0.00,0.00,0.00
