Timestamp,capp,category,csource,ctags,hostName,shuffle_failed_outputs,shuffle_handler_busy_percent,shuffle_output_bytes,shuffle_success_outputs
1307525589,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.shuffleOutput,sr215, cluster="chukwa",sr215,0,12.5,8356535394,1990
1307525599,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.shuffleOutput,sr215, cluster="chukwa",sr215,0,22.5,9005085717,2142
1307525609,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.shuffleOutput,sr215, cluster="chukwa",sr215,0,7.5000005,9803106460,2336
1307525619,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.shuffleOutput,sr215, cluster="chukwa",sr215,0,0,10372355670,2473
1307525629,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.shuffleOutput,sr215, cluster="chukwa",sr215,0,7.5000005,10625604271,2531
1307525639,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.shuffleOutput,sr215, cluster="chukwa",sr215,0,5,10689442734,2548
1307525649,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.shuffleOutput,sr215, cluster="chukwa",sr215,0,0,10719923751,2556
1307525659,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.shuffleOutput,sr215, cluster="chukwa",sr215,0,7.5000005,10744241527,2560
1307525669,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.shuffleOutput,sr215, cluster="chukwa",sr215,0,2.5,10847402649,2586
1307525679,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.shuffleOutput,sr215, cluster="chukwa",sr215,0,0,10857646112,2589
1307525689,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.shuffleOutput,sr215, cluster="chukwa",sr215,0,0,10870397945,2592
1307525699,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.shuffleOutput,sr215, cluster="chukwa",sr215,0,0,10870397945,2592
1307525709,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.shuffleOutput,sr215, cluster="chukwa",sr215,0,0,10870397945,2592
1307525719,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.shuffleOutput,sr215, cluster="chukwa",sr215,0,0,10870397945,2592
1307525729,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.shuffleOutput,sr215, cluster="chukwa",sr215,0,0,10870397945,2592
1307525739,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.shuffleOutput,sr215, cluster="chukwa",sr215,0,0,10870397945,2592
1307525749,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.shuffleOutput,sr215, cluster="chukwa",sr215,0,0,10870397945,2592
1307525759,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.shuffleOutput,sr215, cluster="chukwa",sr215,0,0,10870397945,2592
1307525769,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.shuffleOutput,sr215, cluster="chukwa",sr215,0,0,10870397945,2592
1307525779,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.shuffleOutput,sr215, cluster="chukwa",sr215,0,0,10870397945,2592
1307525789,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.shuffleOutput,sr215, cluster="chukwa",sr215,0,0,10870397945,2592
1307525799,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.shuffleOutput,sr215, cluster="chukwa",sr215,0,0,10870397945,2592
1307525809,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.shuffleOutput,sr215, cluster="chukwa",sr215,0,0,10870397945,2592
