Timestamp,capp,csource,ctags,device,rxkB/s,rxpck/s,txkB/s,txpck/s
1307525518,results from /usr/local/bin/sar -n DEV 5 | awk '{if($0 &&!/Linux/){$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa",sit0,0.00,0.00,0.00,0.00
1307525518,results from /usr/local/bin/sar -n DEV 5 | awk '{if($0 &&!/Linux/){$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa",eth1,15.85,92.20,27.63,69.80
1307525518,results from /usr/local/bin/sar -n DEV 5 | awk '{if($0 &&!/Linux/){$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa",eth0,3.61,8.60,0.00,0.00
1307525523,results from /usr/local/bin/sar -n DEV 5 | awk '{if($0 &&!/Linux/){$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa",lo,1.14,7.40,1.14,7.40
1307525523,results from /usr/local/bin/sar -n DEV 5 | awk '{if($0 &&!/Linux/){$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa",eth0,2.00,5.80,0.00,0.00
1307525523,results from /usr/local/bin/sar -n DEV 5 | awk '{if($0 &&!/Linux/){$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa",eth1,19.19,127.40,51.53,99.80
1307525523,results from /usr/local/bin/sar -n DEV 5 | awk '{if($0 &&!/Linux/){$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa",sit0,0.00,0.00,0.00,0.00
1307525528,results from /usr/local/bin/sar -n DEV 5 | awk '{if($0 &&!/Linux/){$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa",lo,1.37,6.00,1.37,6.00
1307525528,results from /usr/local/bin/sar -n DEV 5 | awk '{if($0 &&!/Linux/){$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa",eth0,1.65,5.20,0.00,0.00
1307525528,results from /usr/local/bin/sar -n DEV 5 | awk '{if($0 &&!/Linux/){$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa",eth1,21.60,95.20,38.85,75.60
1307525528,results from /usr/local/bin/sar -n DEV 5 | awk '{if($0 &&!/Linux/){$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa",sit0,0.00,0.00,0.00,0.00
1307525533,results from /usr/local/bin/sar -n DEV 5 | awk '{if($0 &&!/Linux/){$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa",lo,1.14,6.59,1.14,6.59
1307525533,results from /usr/local/bin/sar -n DEV 5 | awk '{if($0 &&!/Linux/){$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa",eth0,3.18,10.78,2.45,2.99
1307525533,results from /usr/local/bin/sar -n DEV 5 | awk '{if($0 &&!/Linux/){$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa",eth1,20.40,123.55,43.95,95.01
1307525533,results from /usr/local/bin/sar -n DEV 5 | awk '{if($0 &&!/Linux/){$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa",sit0,0.00,0.00,0.00,0.00
1307525538,results from /usr/local/bin/sar -n DEV 5 | awk '{if($0 &&!/Linux/){$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa",eth0,3.16,8.00,0.00,0.00
1307525538,results from /usr/local/bin/sar -n DEV 5 | awk '{if($0 &&!/Linux/){$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa",eth1,15.58,86.00,44.50,72.00
1307525538,results from /usr/local/bin/sar -n DEV 5 | awk '{if($0 &&!/Linux/){$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa",sit0,0.00,0.00,0.00,0.00
1307525538,results from /usr/local/bin/sar -n DEV 5 | awk '{if($0 &&!/Linux/){$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa",lo,1.65,6.00,1.65,6.00
