Timestamp,capp,category,csource,ctags,hostName,mapTaskSlots,maps_running,reduceTaskSlots,reduces_running,tasks_completed
1307525559,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.tasktracker,sr215, cluster="chukwa",sr215,16,5,10,4,75
1307525570,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.tasktracker,sr215, cluster="chukwa",sr215,16,4,10,4,78
1307525581,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.tasktracker,sr215, cluster="chukwa",sr215,16,3,10,4,81
1307525589,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.tasktracker,sr215, cluster="chukwa",sr215,16,1,10,4,83
1307525599,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.tasktracker,sr215, cluster="chukwa",sr215,16,1,10,4,83
1307525609,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.tasktracker,sr215, cluster="chukwa",sr215,16,0,10,4,85
1307525619,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.tasktracker,sr215, cluster="chukwa",sr215,16,0,10,4,85
1307525629,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.tasktracker,sr215, cluster="chukwa",sr215,16,0,10,4,85
1307525639,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.tasktracker,sr215, cluster="chukwa",sr215,16,0,10,4,85
1307525649,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.tasktracker,sr215, cluster="chukwa",sr215,16,0,10,4,85
1307525659,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.tasktracker,sr215, cluster="chukwa",sr215,16,0,10,4,85
1307525669,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.tasktracker,sr215, cluster="chukwa",sr215,16,0,10,4,85
1307525679,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.tasktracker,sr215, cluster="chukwa",sr215,16,0,10,4,85
1307525689,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.tasktracker,sr215, cluster="chukwa",sr215,16,0,10,4,85
1307525699,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.tasktracker,sr215, cluster="chukwa",sr215,16,0,10,4,85
1307525709,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.tasktracker,sr215, cluster="chukwa",sr215,16,0,10,4,85
1307525719,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.tasktracker,sr215, cluster="chukwa",sr215,16,0,10,4,85
1307525729,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.tasktracker,sr215, cluster="chukwa",sr215,16,0,10,4,85
1307525739,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.tasktracker,sr215, cluster="chukwa",sr215,16,0,10,4,85
1307525749,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.tasktracker,sr215, cluster="chukwa",sr215,16,0,10,4,85
1307525759,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.tasktracker,sr215, cluster="chukwa",sr215,16,0,10,4,85
1307525769,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-mapred-1307525359830.log,mapred.tasktracker,sr215, cluster="chukwa",sr215,16,0,10,4,85
