Local bytes written,COUNTERS,Combine output records,Combine input records,csource,capp,Map output bytes,Map input records,START_TIME,FINISH_TIME,HDFS bytes read,id,SPLITS,ctags,TASK_STATUS,TASK_TYPE,Map input bytes,Map output records
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,133889809,12712,1307525505016,1307525536801,,task_201106081729_0001_m_000514,/default-rack/sr216;/default-rack/sr214;/default-rack/sr221, cluster="chukwa",SUCCESS,MAP,134228165,12712
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,133881076,12628,1307525510897,1307525597831,,task_201106081729_0001_m_000515,/default-rack/sr215;/default-rack/sr217;/default-rack/sr216, cluster="chukwa",SUCCESS,MAP,134216900,12628
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,133870464,12749,1307525510898,1307525576841,,task_201106081729_0001_m_000516,/default-rack/sr216;/default-rack/sr221;/default-rack/sr217, cluster="chukwa",SUCCESS,MAP,134210056,12749
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,133875820,12803,1307525505421,1307525553349,,task_201106081729_0001_m_000517,/default-rack/sr216;/default-rack/sr214;/default-rack/sr218, cluster="chukwa",SUCCESS,MAP,134216284,12803
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,133894802,12730,1307525504854,1307525533344,,task_201106081729_0001_m_000518,/default-rack/sr216;/default-rack/sr222;/default-rack/sr218, cluster="chukwa",SUCCESS,MAP,134233802,12730
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,133865188,12669,1307525504854,1307525533344,,task_201106081729_0001_m_000519,/default-rack/sr218;/default-rack/sr222;/default-rack/sr216, cluster="chukwa",SUCCESS,MAP,134202420,12669
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,133885426,12657,1307525504854,1307525533344,,task_201106081729_0001_m_000520,/default-rack/sr216;/default-rack/sr215;/default-rack/sr222, cluster="chukwa",SUCCESS,MAP,134221742,12657
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,133876792,12725,1307525504854,1307525546635,,task_201106081729_0001_m_000521,/default-rack/sr222;/default-rack/sr216;/default-rack/sr219, cluster="chukwa",SUCCESS,MAP,134215212,12725
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,133895661,12684,1307525507346,1307525519736,,task_201106081729_0001_m_000522,/default-rack/sr221;/default-rack/sr219;/default-rack/sr216, cluster="chukwa",SUCCESS,MAP,134233153,12684
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,133888343,12679,1307525510126,1307525548215,,task_201106081729_0001_m_000523,/default-rack/sr216;/default-rack/sr214;/default-rack/sr215, cluster="chukwa",SUCCESS,MAP,134226435,12679
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,133878276,12840,1307525508438,1307525556359,,task_201106081729_0001_m_000524,/default-rack/sr218;/default-rack/sr216;/default-rack/sr214, cluster="chukwa",SUCCESS,MAP,134219136,12840
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,133871644,12744,1307525504855,1307525546636,,task_201106081729_0001_m_000525,/default-rack/sr222;/default-rack/sr214;/default-rack/sr221, cluster="chukwa",SUCCESS,MAP,134210916,12744
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,133888782,12776,1307525510127,1307525548216,,task_201106081729_0001_m_000526,/default-rack/sr214;/default-rack/sr216;/default-rack/sr218, cluster="chukwa",SUCCESS,MAP,134228530,12776
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,133864728,12848,1307525507347,1307525557381,,task_201106081729_0001_m_000527,/default-rack/sr216;/default-rack/sr214;/default-rack/sr219, cluster="chukwa",SUCCESS,MAP,134204752,12848
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,133881162,12773,1307525514918,1307525548216,,task_201106081729_0001_m_000528,/default-rack/sr221;/default-rack/sr215;/default-rack/sr214, cluster="chukwa",SUCCESS,MAP,134220446,12773
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,133885395,12764,1307525514345,1307525564952,,task_201106081729_0001_m_000529,/default-rack/sr221;/default-rack/sr217;/default-rack/sr214, cluster="chukwa",SUCCESS,MAP,134224207,12764
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,133869922,12693,1307525504855,1307525546636,,task_201106081729_0001_m_000530,/default-rack/sr219;/default-rack/sr214;/default-rack/sr222, cluster="chukwa",SUCCESS,MAP,134207466,12693
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,133894522,12763,1307525504856,1307525533345,,task_201106081729_0001_m_000531,/default-rack/sr217;/default-rack/sr214;/default-rack/sr222, cluster="chukwa",SUCCESS,MAP,134234446,12763
,1,0,0,sr212,/mnt/DP_disk2/lyan/hadoop/logs/history/sr212_1307525348309_job_201106081729_0001_lyan_sorter,133884715,12772,1307525504856,1307525533345,,task_201106081729_0001_m_000532,/default-rack/sr214;/default-rack/sr216;/default-rack/sr222, cluster="chukwa",SUCCESS,MAP,134223931,12772
