Timestamp,capp,category,csource,ctags,gcCount,gcTimeMillis,hostName,memHeapCommittedM,memHeapUsedM,memNonHeapCommittedM,memNonHeapUsedM,processName,threadsBlocked,threadsNew,threadsRunnable,threadsTerminated,threadsTimedWaiting,threadsWaiting
1307525446,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-jvm-1307525446628.log,jvm.metrics,sr214, cluster="chukwa",10,188,sr214,369.5625,315.41327,23.5,10.872093,MAP,0,0,3,0,6,3
1307525447,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-jvm-1307525447019.log,jvm.metrics,sr214, cluster="chukwa",10,108,sr214,369.5625,319.58453,23.6875,11.28112,MAP,0,0,3,0,5,2
1307525447,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-jvm-1307525447178.log,jvm.metrics,sr214, cluster="chukwa",9,90,sr214,363.0625,315.2852,24.375,10.755676,MAP,0,0,3,0,6,3
1307525447,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-jvm-1307525447771.log,jvm.metrics,sr214, cluster="chukwa",12,110,sr214,364.75,317.98962,23.8125,11.086037,MAP,0,0,3,0,6,3
1307525447,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-jvm-1307525357479.log,jvm.metrics,sr214, cluster="chukwa",11,139,sr214,49.75,10.75309,31.25,15.65229,DataNode,0,0,9,0,10,11
1307525448,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-jvm-1307525368485.log,jvm.metrics,sr214, cluster="chukwa",9,98,sr214,56.625,48.13836,29.3125,15.678406,TaskTracker,0,0,21,0,6,71
1307525456,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-jvm-1307525446628.log,jvm.metrics,sr214, cluster="chukwa",11,194,sr214,380.875,331.12976,23.75,11.717491,MAP,0,0,3,0,4,2
1307525456,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-jvm-1307525446628.log,jvm.metrics,sr214, cluster="chukwa",13,324,sr214,387.8125,303.11664,23.4375,11.2313,MAP,0,0,5,0,2,3
1307525457,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-jvm-1307525357479.log,jvm.metrics,sr214, cluster="chukwa",11,139,sr214,49.75,30.904701,31.25,15.654327,DataNode,7,0,16,0,10,11
1307525457,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-jvm-1307525457940.log,jvm.metrics,sr214, cluster="chukwa",10,125,sr214,371.0625,316.68765,23.6875,11.213692,MAP,0,0,4,0,3,4
1307525457,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-jvm-1307525457777.log,jvm.metrics,sr214, cluster="chukwa",10,152,sr214,367.625,311.72534,23.75,11.191971,MAP,0,0,4,0,3,4
1307525457,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-jvm-1307525447178.log,jvm.metrics,sr214, cluster="chukwa",12,131,sr214,380.25,308.70282,24.1875,11.17572,MAP,0,0,5,0,1,4
1307525457,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-jvm-1307525457841.log,jvm.metrics,sr214, cluster="chukwa",10,139,sr214,369.1875,316.37537,23.6875,10.749718,MAP,0,0,5,0,3,4
1307525458,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-jvm-1307525458538.log,jvm.metrics,sr214, cluster="chukwa",9,94,sr214,358.4375,310.1388,24.875,11.020851,MAP,0,0,5,0,3,4
1307525458,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-jvm-1307525458330.log,jvm.metrics,sr214, cluster="chukwa",10,114,sr214,360,306.83563,24.75,10.778259,MAP,0,0,5,0,3,4
1307525458,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-jvm-1307525368485.log,jvm.metrics,sr214, cluster="chukwa",10,108,sr214,54.875,11.8808975,29.3125,16.28608,TaskTracker,23,0,23,0,6,53
1307525458,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-jvm-1307525458905.log,jvm.metrics,sr214, cluster="chukwa",9,123,sr214,359.5,312.6575,24.75,10.78717,MAP,0,0,5,0,3,4
1307525458,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-jvm-1307525458617.log,jvm.metrics,sr214, cluster="chukwa",12,117,sr214,363.8125,311.02927,23.6875,10.794762,MAP,0,0,5,0,3,4
1307525458,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-jvm-1307525458317.log,jvm.metrics,sr214, cluster="chukwa",10,172,sr214,70.375,11.568695,23.5625,11.21254,MAP,0,0,4,0,3,3
1307525458,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-jvm-1307525458389.log,jvm.metrics,sr214, cluster="chukwa",10,135,sr214,368.6875,314.80054,23.6875,11.017342,MAP,0,0,5,0,3,4
1307525458,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-jvm-1307525458641.log,jvm.metrics,sr214, cluster="chukwa",12,200,sr214,361.125,310.6922,23.75,10.807617,MAP,0,0,5,0,3,4
1307525462,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-jvm-1307525462804.log,jvm.metrics,sr214, cluster="chukwa",69,216,sr214,160,67.036194,24.3125,11.122238,SHUFFLE,3,0,6,0,4,6
1307525467,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-jvm-1307525357479.log,jvm.metrics,sr214, cluster="chukwa",11,139,sr214,49.75,40.10325,31.25,15.657249,DataNode,0,0,13,0,10,11
