Timestamp,%idle,%iowait,%nice,%steal,%system,%user,capp,csource,ctags
1307525808,99.90,0.00,0.00,0.00,0.03,0.07,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307525813,99.89,0.00,0.00,0.00,0.01,0.10,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307525818,99.88,0.00,0.00,0.00,0.02,0.10,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307525823,99.61,0.00,0.00,0.00,0.05,0.34,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307525828,99.89,0.00,0.00,0.00,0.02,0.09,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307525833,99.86,0.00,0.00,0.00,0.01,0.12,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307525838,99.90,0.00,0.00,0.00,0.02,0.07,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307525843,99.94,0.00,0.00,0.00,0.01,0.05,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307525848,99.89,0.00,0.00,0.00,0.04,0.07,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307525853,99.93,0.00,0.00,0.00,0.02,0.05,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307525858,99.91,0.00,0.00,0.00,0.02,0.06,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307525863,99.93,0.00,0.00,0.00,0.01,0.06,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307525868,99.91,0.00,0.00,0.00,0.04,0.05,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307525873,99.91,0.00,0.00,0.00,0.02,0.06,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307525878,99.86,0.00,0.00,0.00,0.06,0.07,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307525883,99.91,0.00,0.00,0.00,0.02,0.06,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307525888,99.89,0.00,0.00,0.00,0.04,0.07,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307525893,99.89,0.00,0.00,0.00,0.01,0.10,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307525898,99.90,0.00,0.00,0.00,0.04,0.06,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307525903,99.94,0.00,0.00,0.00,0.02,0.04,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307525908,99.85,0.00,0.00,0.00,0.02,0.12,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307525913,99.90,0.00,0.00,0.00,0.04,0.06,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307525918,99.83,0.00,0.00,0.00,0.05,0.12,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
1307525923,99.95,0.00,0.00,0.00,0.01,0.04,results from /usr/local/bin/sar -u 5 |awk '{if($0 && !/Linux/) {$1=""; $2=""; now=strftime("%s "); print now $0}}',sr212, cluster="chukwa"
